id,name_pl,name_en,description_pl,description_en,category,img_url,product_url,price_eur
9001,BMW X5,BMW X5,,"The BMW X5 handles like the company’s famed sports sedans, which is the top reason to consider this crossover.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/7206.jpg,http://www.caranddriver.com/bmw/x5,50000
9002,Audi A8,Audi A8,,"Audi’s A8 is the pinnacle of German über-luxury sedans, with an exterior that is understated yet impressive.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/7073.jpg,http://www.caranddriver.com/audi/a8,71000
9003,Ram 1500,Ram 1500,,"From work-truck to leather-lined luxury rig, the 1500’s smooth ride, comfortable seats and tons of storage make it a tool worth consideration.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/6656.jpg,http://www.caranddriver.com/ram/1500,28200
9004,Volkswagen Golf,Volkswagen Golf,,Choose from two engines: a 1.8-liter turbo four or a 2.0-liter turbo-diesel.,Cars,http://buyersguide.caranddriver.com/media/assets/submodel/4625.jpg,http://www.caranddriver.com/volkswagen/golf,21000
9005,Chevrolet Camaro,Chevrolet Camaro,,"Nothing turns heads like a muscle car, and the Camaro is no exception—behold its striking coupe or convertible styling, rowdy exhaust note, and rubber-burning attitude.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/6517.jpg,http://www.caranddriver.com/chevrolet/camaro,22500
9006,Porsche 911,Porsche 911,,"For almost 50 years, the iconic 911 has been constantly updated while retaining the same unmistakable look and design philosophy.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/6762.jpg,http://www.caranddriver.com/porsche/911,77500
9007,BMW i3,BMW i3,,"With its stubby styling and revolutionary carbon-fiber/aluminum structure, the i3 takes BMW’s driving principles to a new realm.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/6860.jpg,http://www.caranddriver.com/bmw/i3,39500
9008,Lamborghini Huracan,Lamborghini Huracan,,"Lamborghini’s new “entry-level” supercar, the Huracán, picks up where the exotic Gallardo left off.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/6118.jpg,http://www.caranddriver.com/lamborghini/huracan,219000
9009,Mercedes-Benz Sprinter,Mercedes-Benz Sprinter,,"With an array of body styles to haul either cargo or people, including seating for up to 12, the Sprinter is a true jack-of-all-trades.",Cars,http://buyersguide.caranddriver.com/media/assets/submodel/6290.jpg,http://www.caranddriver.com/mercedes-benz/sprinter,37000
9010,Volkswagen Garbus (1938),Volkswagen Beetle (1938),,,Cars,http://preview.netcarshow.com/Volkswagen-Beetle-1938-1280-0d.jpg,,
9011,Maluch,Fiat 126p,,,Cars,http://www.v10.pl/archiwum/serwis_informacyjny/aktualnosci/fiat/rozne/fiat_126p_maluch__5.jpg,,
9012,Wołga,Volga,,,Cars,http://www.czarnawolga.pl/attachments/Image/wolga21.jpg?template=generic,,
9013,Ford Mustang (1967),Ford Mustang (1967),,,Cars,http://www.ridelust.com/wp-content/uploads/1967_ford_mustang_fastback-500x332.jpg,,
9014,Fiat Multipla,Fiat Multipla,,,Cars,http://www.carstyling.ru/resources/classic/1999-2001_Fiat_Multipla_01.jpg,,
